"npi","path","method","request_body","created_at"
1578669594,"/v1/custom/providers/1578669594/specialties","PUT","{""remove"": []}","2020-08-07 13:51:24.200628"
1619028081,"/v1/custom/providers/1619028081/specialties","PUT","{""remove"": []}","2020-08-07 13:51:24.141909"
1720517568,"/v1/custom/providers/1720517568/locations","PUT","{""add"": [""3fdd567c-7100-40e5-b6fb-36bef71b4213"", ""b389e4c5-b8cc-4fab-a905-7507cb7241f4"", ""6ca284d6-6bf8-44a6-88d6-4392ab81f52b"", ""09bdf51f-b455-41c4-8c7b-b927f0537c6b""]}","2020-08-07 13:51:22.649768"
1578669594,"/v1/custom/providers/1578669594/specialties","PUT","{""remove"": []}","2020-08-07 13:51:21.795982"
1285717751,"/v1/custom/providers/1285717751/insurances","PUT","{""add"": [""6417d256-4fdb-4a60-903b-8f42b0405653"", ""96292303-3e6e-4758-a851-f049d7956345"", ""c1710528-c7c8-4118-b8a3-5c041eb7e9ab"", ""a5b6bb6c-db7f-488b-9a3b-5579a517ff1b"", ""512ccd7d-a2ed-4613-9c53-232c85a50878"", ""e37328eb-c53e-4d38-909c-dab22dc80f91""]}","2020-08-07 13:51:21.781884"
1568673531,"/v1/custom/providers/1568673531/specialties","PUT","{""override"": [""8de3e063-d015-4c7e-9d5f-5365d711f8ee"", ""5a8f8611-8993-444f-b54e-85eb1a87cf5a"", ""de3715de-4c7c-4b95-b216-f4a2b31b361a"", ""79eee177-74b8-4bda-aa00-0d7d7b52d67f"", ""683e4a37-0a4b-4701-ba57-44d1e95f354f""]}","2020-08-07 13:51:21.777308"
1720517568,"/v1/custom/providers/1720517568/locations","PUT","{""add"": [""0c0392b4-cd4e-4616-979b-51d43cdff08d"", ""8d67d3bb-1ebf-4ba2-8f83-a33bf46729cb"", ""8294ea7b-69fe-45c7-90ca-a55d6136a691""]}","2020-08-07 13:51:20.890825"
1619028081,"/v1/custom/providers/1619028081","PUT","{""contact"": {""email"": ""test@test.com"", ""fax"": ""1234567890""}}","2020-08-07 13:51:20.847923"
1992187686,"/v1/custom/providers/1992187686/specialties","PUT","{""override"": []}","2020-08-07 13:51:19.826381"
1982655395,"/v1/custom/providers/1982655395","PUT","{""remove_fields"": [""is_pcp""]}","2020-08-07 13:51:19.713345"
1962438689,"/v1/custom/providers/1962438689/locations","PUT","{""add"": [""94d36b40-688c-4955-a17d-39b1a63b0d29""]}","2020-08-07 13:51:18.86302"
1932181807,"/v1/custom/providers/1932181807/insurances","PUT","{""add"": [""53e4b27d-e8a2-4733-8427-29355443ba48"", ""f7627ef2-7d1d-4974-b934-2fdb29c0ff4f"", ""9fe16fb1-efe9-4a74-8934-355f4c1d21f5"", ""c1672e4e-bef6-4928-829b-908af89f4735""]}","2020-08-07 13:51:18.770288"
1578669594,"/v1/custom/providers/1578669594/insurances","PUT","{""add"": [""96b29566-9ff8-48fe-b4f7-51170f3f4012"", ""6ab9d1d3-b969-4352-9fac-68b6494cbe7b""]}","2020-08-07 13:51:17.87859"
1285717751,"/v1/custom/providers/1285717751/locations","PUT","{""add"": [""a7ae9518-56cd-45e3-a30c-23606c2c70f8"", ""0c0392b4-cd4e-4616-979b-51d43cdff08d"", ""bf8d362e-9762-4d56-b062-5fa5ecdddb84"", ""214414a3-9c04-4b3c-a339-51a7a40a4fe9"", ""480c531a-ab83-4510-805f-77a6dd8cd46e""]}","2020-08-07 13:51:17.821776"
1720517568,"/v1/custom/providers/1720517568","PUT","{""contact"": {""email"": ""test@test.com"", ""fax"": ""1234567890""}}","2020-08-07 13:51:17.817116"
1992187686,"/v1/custom/providers/1992187686/insurances","PUT","{""override"": [""7fb4022c-7b65-4751-9158-6677dca74490"", ""62056904-aec6-4d5b-a35f-508f003c74ab"", ""36f607e8-2785-411e-8384-f17195f09468"", ""f8db2c11-e64f-421a-9d26-ff49c4c95f2b"", ""8ae49175-1941-4266-9ec4-20488802e24c""]}","2020-08-07 13:51:17.802841"
1568673531,"/v1/custom/providers/1568673531/locations","PUT","{""remove"": []}","2020-08-07 13:51:17.764667"
1780625301,"/v1/custom/providers/1780625301","PUT","{""is_pcp"": false}","2020-08-07 13:51:16.26967"
1619028081,"/v1/custom/providers/1619028081","PUT","{""contact"": {""email"": ""test@test.com"", ""fax"": ""1234567890""}}","2020-08-07 13:51:16.222817"
1962438689,"/v1/custom/providers/1962438689","PUT","{""is_pcp"": true}","2020-08-07 13:51:15.283052"
1982655395,"/v1/custom/providers/1982655395/insurances","PUT","{""remove"": []}","2020-08-07 13:51:15.266353"
1932181807,"/v1/custom/providers/1932181807/insurances","PUT","{""override"": [""1e41cffb-e231-41a5-b088-5f356177d721"", ""37bc5e7f-9655-416a-9938-b10ea5ce3e9a"", ""68eb583f-291e-4690-9293-3d72e5c05799"", ""ba66dcf3-f16f-434c-bb1e-8bf55dd96731"", ""92fd2b40-39c9-4df4-ab9e-0b81de0074da""]}","2020-08-07 13:51:14.808245"
1720517568,"/v1/custom/providers/1720517568/insurances","PUT","{""add"": [""a003a89c-eecb-470b-938d-1b97225f3d81"", ""eecb0179-615f-42cd-9fc0-8f7570f4de63""]}","2020-08-07 13:51:13.876121"
1285717751,"/v1/custom/providers/1285717751/specialties","PUT","{""remove"": [""8de3e063-d015-4c7e-9d5f-5365d711f8ee""]}","2020-08-07 13:51:13.849054"
1568673531,"/v1/custom/providers/1568673531/locations","PUT","{""override"": []}","2020-08-07 13:51:13.837951"
1992187686,"/v1/custom/providers/1992187686/insurances","PUT","{""remove"": []}","2020-08-07 13:51:13.83608"
1578669594,"/v1/custom/providers/1578669594/specialties","PUT","{""override"": []}","2020-08-07 13:51:13.825083"
1619028081,"/v1/custom/providers/1619028081/insurances","PUT","{""remove"": [""f8db2c11-e64f-421a-9d26-ff49c4c95f2b"", ""e481f9cb-a770-493b-a366-aa9d34bb6ef9"", ""89a6c885-437a-4d69-99bb-9f29aaa22c25""]}","2020-08-07 13:51:12.885641"
1780625301,"/v1/custom/providers/1780625301","PUT","{""remove_fields"": [""contact""]}","2020-08-07 13:51:12.813496"
